REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Adjustments,UOM,UOM_ID,SCALAR_FACTOR,VECTOR,VALUE
2022-10,Alberta,2016A000248,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367215,8065198
2022-11,Alberta,2016A000248,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367215,8070670
2022-12,Alberta,2016A000248,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367215,8183031
2022-08,British Columbia,2016A000259,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367245,8607565
2022-09,British Columbia,2016A000259,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367245,8387672
2022-10,British Columbia,2016A000259,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367245,8462804
2022-11,British Columbia,2016A000259,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367245,8513399
2022-12,British Columbia,2016A000259,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367245,8416964
2022-08,Yukon,2016A000260,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367304,87605
2022-09,Yukon,2016A000260,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367304,83987
2022-10,Yukon,2016A000260,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367304,86169
2022-11,Yukon,2016A000260,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367304,85573
2022-12,Yukon,2016A000260,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367304,84685
2022-08,Northwest Territories,2016A000261,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367334,71237
2022-09,Northwest Territories,2016A000261,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367334,73431
2022-10,Northwest Territories,2016A000261,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367334,74574
2022-11,Northwest Territories,2016A000261,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367334,71328
2022-12,Northwest Territories,2016A000261,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367334,72061
2022-08,Nunavut,2016A000262,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367364,47074
2022-09,Nunavut,2016A000262,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367364,47366
2022-10,Nunavut,2016A000262,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367364,49371
2022-11,Nunavut,2016A000262,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367364,49479
2022-12,Nunavut,2016A000262,Retail trade [44-45],Seasonally adjusted,Dollars,81,thousands,v52367364,48942
